Name,Year,Team,Salary,Prev_Salary,is_rookie,FA,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
°­ºÀ±Ô,2013,SAMSUNG,15000,15000,X,O,1978,35,RF,-0.28,32,0.27,-0.55,99,98,82,11,17,5,0,0,22,5,3,0,14,1,0,19,5,1,1,0.207,0.327,0.268,0.595,-0.042,68.4
°­ºÀ±Ô,2012,SAMSUNG,15000,15000,X,O,1978,34,LF,0.84,102,1.33,-0.49,274,270,235,30,60,10,1,6,90,38,5,3,28,2,1,49,5,3,6,0.255,0.332,0.383,0.715,-0.001,104.2
°­ºÀ±Ô,2011,SAMSUNG,15000,11000,X,X,1978,33,LF,0.64,52,0.73,-0.09,168,167,146,14,39,7,1,1,51,18,3,1,17,2,0,24,3,0,2,0.267,0.347,0.349,0.696,-0.01,96.7
°­ºÀ±Ô,2010,SAMSUNG,11000,14400,X,X,1978,32,LF,0.61,89,1.25,-0.64,279,275,232,38,55,12,0,4,79,26,8,0,40,2,0,44,8,4,1,0.237,0.353,0.341,0.694,-0.017,95.1
°­ºÀ±Ô,2009,SAMSUNG,14400,6400,X,X,1978,31,RF,4.41,126,4.96,-0.55,529,521,449,89,139,24,2,20,227,78,20,3,69,4,2,61,15,6,1,0.31,0.405,0.506,0.911,0.048,137.9
°­ºÀ±Ô,2008,SAMSUNG,6400,6400,X,X,1978,30,LF,0.94,81,1,-0.06,160,157,134,27,37,8,0,3,54,14,3,4,19,3,0,28,3,3,1,0.276,0.376,0.403,0.779,0.02,122.8
°­ºÀ±Ô,2007,SAMSUNG,6400,5400,X,X,1978,29,RF,1.17,83,1.02,0.15,170,165,142,20,40,9,1,1,54,13,4,2,16,5,0,25,4,5,2,0.282,0.37,0.38,0.75,0.012,114.4
°­ºÀ±Ô,2006,SAMSUNG,5400,4000,X,X,1978,28,DH,0.5,87,0.53,-0.03,145,144,128,16,30,6,1,4,50,16,4,3,13,1,0,33,2,1,2,0.234,0.306,0.391,0.697,-0.007,97.1
°­ºÀ±Ô,2005,DOOSAN,4000,4000,X,X,1978,27,LF,0.29,48,0.46,-0.17,124,121,102,12,24,3,1,1,32,10,2,1,18,2,1,30,2,2,0,0.235,0.361,0.314,0.675,-0.017,93.8
°­ºÀ±Ô,2004,DOOSAN,4000,4000,X,X,1978,26,RF,0.3,40,0.22,0.08,85,83,72,14,17,2,1,1,24,5,2,1,10,1,0,20,0,2,0,0.236,0.337,0.333,0.67,-0.025,85.2
