,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
80,김정민,X,LG,2001,1970.0,31.0,C,0.14,61.0,-0.05,0.19,122.0,116.0,108.0,8.0,28.0,4.0,1.0,0.0,34.0,12.0,0.0,0.0,7.0,1.0,0.0,27.0,2.0,6.0,0.0,0.259,0.31,0.315,0.625,-0.06,62.9,6600.0,6800.0,X
81,김정수,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,4000.0,X
82,김제빈,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,O
83,김종국,X,KIA,2001,1973.0,28.0,2B,1.54,101.0,1.31,0.23,416.0,409.0,361.0,63.0,103.0,15.0,3.0,4.0,136.0,25.0,21.0,12.0,40.0,5.0,0.0,56.0,5.0,7.0,3.0,0.285,0.362,0.377,0.739,-0.026,99.2,6900.0,3900.0,X
84,김종석,X,HANWHA,2001,1971.0,30.0,1B,2.81,116.0,3.97,-1.16,445.0,444.0,390.0,66.0,123.0,22.0,2.0,16.0,197.0,65.0,4.0,1.0,49.0,1.0,1.0,78.0,9.0,0.0,5.0,0.315,0.389,0.505,0.894,0.042,138.4,9000.0,5000.0,X
85,김종훈,X,SAMSUNG,2001,1972.0,29.0,LF,1.06,93.0,1.07,-0.01,283.0,273.0,245.0,43.0,71.0,7.0,1.0,5.0,95.0,21.0,2.0,3.0,26.0,3.0,1.0,46.0,3.0,9.0,0.0,0.29,0.365,0.388,0.753,-0.007,101.1,8500.0,6000.0,X
86,김주찬,X,LOTTE,2001,1981.0,20.0,3B,1.24,86.0,2.09,-0.85,333.0,331.0,300.0,57.0,94.0,21.0,4.0,4.0,135.0,31.0,29.0,8.0,24.0,2.0,0.0,56.0,7.0,2.0,5.0,0.313,0.363,0.45,0.813,0.014,117.5,4100.0,2300.0,X
87,김주철,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,,O
88,김지영,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,O
89,김지훈,X,KIA,2001,1973.0,28.0,C,-0.11,36.0,-0.23,0.12,37.0,35.0,34.0,2.0,6.0,2.0,0.0,1.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,2.0,0.0,0.176,0.2,0.324,0.524,-0.215,16.8,2300.0,2100.0,X
